1,4.7337,0.059039,0.68321,0.54325,-0.93327,-0.72205,4.1277,-1.1404,4.3145,-3.7942,2.7713,4.9792,1.5944,2.048,2.8076,2.7788,0.90971,0.83066
-1,0.8425,-0.95923,0.089131,1.2157,-0.25878,-0.43072,0.13766,1.7112,0.058616,0.18132,0.88888,0.50512,0.50428,1.0719,0.62318,1.1912,0.027455,0.06605
-1,0.5113,-1.5937,-0.95598,0.85376,-1.0278,0.97716,1.1751,1.4015,1.2119,1.2521,0.56091,0.80651,1.276,-3.1768e-09,0.61386,0.64861,1.49,0.3026
-1,0.57625,-0.82756,-0.68537,0.6315,0.16295,1.583,0.54353,0.40616,0.81591,-0.17,0.58333,0.68809,1.0468,1.1951,0.59704,0.90466,1.0437,0.092427
1,1.5422,0.86699,-0.61157,1.6391,0.53029,1.0328,0.55887,1.0681,0.044304,-0.20558,1.3398,1.0433,0.69101,0.091537,1.3447,0.25224,0.84312,0.2288
-1,0.65282,-1.4164,-0.49085,0.91778,-1.9908,1.0524,0.7397,1.6889,1.0098,-0.42072,0.66901,0.81793,1.0849,0.87804,0.71377,0.77573,1.5511,0.20509
-1,1.0586,1.0598,-1.1038,1.5836,0.094548,0.24545,0.88941,-1.4073,0.7128,0.26859,1.222,1.0709,0.77764,1.0569,1.2155,0.90387,0.96938,0.15014
1,1.428,0.13276,-0.47207,0.94607,0.76676,1.4662,1.3142,1.4732,0.0032787,-0.78029,1.1051,1.5152,1.2167,2.6816e-09,1.1625,0.68266,1.1497,0.4908
1,0.53673,-1.7842,1.3351,0.76228,1.5441,-1.3187,1.3887,-0.38851,2.0846,-0.79144,1.9366,1.1758,0.5388,2.2369,1.9882,1.8825,1.2658,0.030891
-1,0.39803,-1.8446,0.72189,0.46716,-0.10073,1.6155,0.46832,-1.2035,0.64583,0.055343,0.55489,0.52756,0.8437,0.82581,0.54904,0.71534,0.85366,0.16666
1,0.8969,-0.65071,0.87903,0.79934,0.016936,1.6133,1.9807,-1.4567,1.9374,0.23562,0.76959,1.333,1.537,1.5416,0.79461,1.3502,1.0624,0.67094
1,2.3678,0.021853,-0.85728,0.8413,1.2901,0.098476,2.3114,1.0306,0.04511,-2.0028,1.7836,2.76,1.3732,3.5505,1.8332,3.2168,1.3373,0.54941
-1,3.2256,-0.10417,-1.0885,4.5373,0.14376,0.58648,0.4333,0.13959,0.47612,0.25128,3.1316,1.2845,0.36397,6.9998e-09,3.1341,0.11693,0.67106,0.069578
1,3.1534,-0.029041,-1.611,0.83047,-0.48909,-0.21324,3.1788,0.1673,2.9912,-2.8757,1.9434,3.5914,1.6399,1.9133,2.1021,1.7467,1.5198,0.76812
-1,0.49938,1.3191,0.80271,0.81634,1.5361,-1.6087,1.0468,0.010807,1.5592,-0.44715,0.52056,0.96174,1.6395,1.6972,0.59515,1.2893,1.2118,0.31028
-1,0.52754,1.7108,-0.66099,0.71205,-0.46333,0.34905,0.46791,1.6426,0.7024,-0.13953,0.9748,0.67078,0.61063,1.2859,0.97261,0.96015,0.57306,0.013775
